Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10
"Diemaking","60006088","# 1 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60006088","# 1 Female 4pt","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000464","# 1 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000464","# 1 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60006137","# 10 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60006137","# 10 Female 4pt","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60001128","# 10 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60001128","# 10 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60006300","# 2 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60006300","# 2 Female 4pt","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000473","# 2 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000473","# 2 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60001429","# 21 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60001429","# 21 Female 4pt","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000544","# 21 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000544","# 21 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60002061","# 22 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60002061","# 22 Female 4pt","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000546","# 22 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000546","# 22 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000548","# 23 Male","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60000548","# 23 Male","Main","M1A1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",276.3700,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
"Diemaking","60002665","# 24 Female 4pt","Main","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Each","","","Seaga",437.6000,0.0000,0.0000,,"","","","False","","False","False","FALSE","",""
