SKU,Product,Product additional attribute 6,Required by,PO #,PO date,Status,Product additional attribute 8,Supplier,Quantity,Cost,Total
06B-1*50,Chain (39 teeth),,26-Jan-2026,P23-2707,20-Jan-2026,Completed,FALSE,Hangzhou Youngsun Intelligent Company,6.00,0.0000000,0.00
06B-1*50,Chain (39 teeth),,08-Apr-2026,P23-2839,25-Mar-2026,Receiving,FALSE,Hangzhou Youngsun Intelligent Company,10.00,1.4341100,14.34
10002,2pt 23.80 (0.937) A HP34 Viking Flex SNN COIL (ID-356 CW),false,,P23-2467,29-Sep-2025,Completed,,Martin Miller (Voestalpine),590.00,1.4845977,875.92
10002,2pt 23.80 (0.937) A HP34 Viking Flex SNN COIL (ID-356 CW),false,,P23-3142,20-Aug-2026,Fully billed,,Bohler (Voestalpine),800.00,1.3647564,"1,091.85"
10002,2pt 23.80 (0.937) A HP34 Viking Flex SNN COIL (ID-356 CW),false,,P23-3143,20-Aug-2026,Fully billed,,Martin Miller (Voestalpine),300.00,1.3633885,409.02
10002,2pt 23.80 (0.937) A HP34 Viking Flex SNN COIL (ID-356 CW),false,15-Oct-2025,P23-2466,29-Sep-2025,Completed,,Bohler (Voestalpine),"1,000.00",1.4845977,"1,484.60"
1001A,Emmoco 1001A Semi Automatic Pallet Wrapper,false,30-Mar-2026,P23-2821,16-Mar-2026,Partially billed,,Hangzhou Youngsun Intelligent Company,2.00,"2,725.8886200","5,451.78"
1001A,Emmoco 1001A Semi Automatic Pallet Wrapper,false,30-Apr-2026,P23-2684,09-Jan-2026,Completed,,Hangzhou Youngsun Intelligent Company,4.00,"2,861.6078400","11,446.43"
1001E,Emmoco 1001E Semi Automatic Pallet Wrapper,false,30-Mar-2026,P23-2821,16-Mar-2026,Partially billed,,Hangzhou Youngsun Intelligent Company,1.00,"2,995.4820000","2,995.48"
1001E,Emmoco 1001E Semi Automatic Pallet Wrapper,false,30-Apr-2026,P23-2684,09-Jan-2026,Completed,,Hangzhou Youngsun Intelligent Company,1.00,"3,144.6240000","3,144.62"
1002,3.0pt x 15mm x 1M Spacing Rule,,,P23-3003,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),60.00,1.0304224,61.83
1002,3.0pt x 15mm x 1M Spacing Rule,,,P23-3143,20-Aug-2026,Fully billed,FALSE,Martin Miller (Voestalpine),60.00,1.0188499,61.13
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2467,29-Sep-2025,Completed,TRUE,Martin Miller (Voestalpine),480.00,2.1047575,"1,010.27"
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2693,14-Jan-2026,Credited,TRUE,Bohler (Voestalpine),180.00,2.0541566,369.77
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2729,29-Jan-2026,Completed,TRUE,Martin Miller (Voestalpine),120.00,1.9982346,239.79
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2730,30-Jan-2026,Completed,TRUE,Martin Miller (Voestalpine),180.00,2.0015585,360.30
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2731,30-Jan-2026,Completed,TRUE,Martin Miller (Voestalpine),180.00,2.0006745,360.14
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-2863,13-Apr-2026,Completed,TRUE,Martin Miller (Voestalpine),240.00,1.9592150,470.23
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-3001,16-Jun-2026,Fully billed,TRUE,Martin Miller (Voestalpine),180.00,1.9339562,348.13
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-3002,16-Jun-2026,Completed,TRUE,Martin Miller (Voestalpine),240.00,1.9557652,469.40
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-3003,16-Jun-2026,Completed,TRUE,Martin Miller (Voestalpine),180.00,1.9560159,352.08
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,,P23-3142,20-Aug-2026,Fully billed,TRUE,Bohler (Voestalpine),180.00,1.9348873,348.30
10076,3pt 23.80 (.937) HP34 A SNN COIL CC/WISE 60M,False,15-May-2026,P23-2861,13-Apr-2026,Completed,TRUE,Martin Miller (Voestalpine),180.00,1.9604846,352.89
10126,Lead Edge Guard / Rule Brace (Support Bracket) Small,false,29-Apr-2026,P23-2681,09-Jan-2026,Received / credited,TRUE,JNL Manufacturing,"8,000.00",0.1045702,836.56
